name,voteCount,rating,address,cusine,cost,timing
The Steak & Grill,962 votes,4.0,"FE-12, Sector 3, Salt Lake, Kolkata",Chinese,"₹1,000","7:30am – 10:30pm (Mon-Thu),7:30am – 11pm (Fri-Sun)"
Double Daker's Lane,55 votes,3.5,"375, 4A, Vivekananda Colony, Parnasree Palli, Behala, Kolkata",Chinese,₹400,9am – 9pm (Mon-Sun)
New Om Sakti,187 votes,3.8,"136, Santoshpur Avenue, Santoshpur, Kolkata","Chinese, Fast Food",₹250,8am – 9pm (Mon-Sun)
The Hubb,163 votes,3.6,"391, Prince Anwar Shah Connector Raod, Kalikapur, Kolkata","Chinese, Fast Food",₹600,9am – 10pm (Mon-Sun)
Quantum - Modern Indian Bistro,236 votes,3.8,"14-A, Burdwan Road, Alipore, Kolkata","Chinese, Fast Food","₹1,000",12noon – 11:30pm (Mon-Sun)
New Chaturbhuj Mistanna Bhandar,25 votes,3.5,"130, C.G Raod, Karl Marx Sarani, Kidderpore, Kolkata","Chinese, Fast Food",₹150,8am – 11pm (Mon-Sun)
Tasty Trails,13 votes,3.3,"6/H/6, Ibrahim Road, Ekbalpur, Kidderpore, Kolkata","Chinese, North Indian, Kebab, Fast Food",₹400,"12:30pm – 11pm (Mon, Tue, Wed, Thu, Sat, Sun)..."
New Sila Restaurant,53 votes,3.5,"160, Swami Vivekananda Road, Shibpur, Howrah","Chinese, North Indian, Kebab, Fast Food",₹300,5:30am – 11pm (Mon-Sun)
Bawarchi Family Restaurant,1527 votes,4.0,"58/1, Central Road, Jadavpur, Kolkata","Biryani, Chinese, Fast Food",₹700,12noon – 11pm (Mon-Sun)
Khana Khazana New Chinese Fast Food Centre,233 votes,3.7,"68C, Hazra Road, Hazra, Kolkata","Biryani, Chinese, Fast Food",₹200,12:30pm – 9:30pm (Mon-Sun)
Urbans Cafe,337 votes,3.6,"91, Vivekanand Road, Girish Park, Kolkata",Sandwich,₹300,11am – 11:30pm (Mon-Sun)
Suresh Mistanna Bhander,214 votes,4.2,"Shop 7, Sarat Ghosh Garden Road, Dhakuria, Kolkata",Sandwich,₹100,7am – 10pm (Mon-Sun)
Angan Bar And Restaurant,200 votes,3.3,"59/6, Kantapukur, 3rd Bye Lane, Kadamtala, Howrah Station Area, Howrah","Chinese, Fast Food, Rolls, Bengali",₹600,11am – 11pm (Mon-Sun)
Hind Tiffin Restaurant,141 votes,3.7,"5, Kali Krishna, Tagore Sreet, Bara Bazar, Kolkata","Chinese, Fast Food, Rolls, Bengali",₹200,8am – 10:30pm (Mon-Sun)
Diamond Hotel & Restaurant,190 votes,3.6,"78/79, Hari Mohan Bose Road, Howrah Station Area, Howrah",Rolls,₹500,9:30am – 11:30pm (Mon-Sun)
House Of Chocolates,7 votes,3.1,"6D, Ground Floor, Riffle Range Road, Ballygunge, Kolkata",Rolls,₹250,24 Hours (Mon-Sun)
Shudh Jalpan,14 votes,3.3,"P8, CIT Road, Scheme 7M, Kankurgachi, Kolkata","North Indian, Chinese, Bengali",₹350,7am – 10pm (Mon-Sun)
Biryanee & More,78 votes,3.6,"161/2, Ward 131, Upendra Nath Banerjee Road, Behala, Kolkata","North Indian, Chinese, Bengali",₹300,12noon – 12midnight (Mon-Sun)
Sanjib's Restaurant,10 votes,3.2,"Plot 664, Sastri Narendranath Ganguly Road, Santragachi, Near Shibpur, Howrah","Rolls, Chinese, Mughlai",₹300,12noon – 10:30pm (Mon-Sun)
OMO Bistro & Enoteca,28 votes,3.8,"91, Ground Floor, Manohar Pukur Road, Lake Market Area, Kolkata","Rolls, Chinese, Mughlai",₹750,"Closed (Mon),12noon – 10:30pm (Tue-Sun)"
Namaste Bengal,18 votes,3.4,"P 96A, Hemanta Mukhopadhyay Sarani, Desapriya Park, Kolkata","Desserts, Ice Cream",₹350,12noon – 11pm (Mon-Sun)
Foodgazm,Cuisines:,3.1,"189/2A, Kasba Road, Kasba, Kolkata","Desserts, Ice Cream",₹400,12noon – 12midnight (Mon-Sun)
Dhaba 24,230 votes,3.7,"69, B.B Chatterjee Road, Kasba, Kolkata","South Indian, Street Food",₹400,12:10pm – 12:30am (Mon-Sun)
Khichdi Khichri,339 votes,3.8,"172 A, Metropolitan Housing Society, South Canal Road, Beliaghata, Kolkata","South Indian, Street Food",₹500,11am – 8pm (Mon-Sun)
Dinner House,619 votes,3.9,"25A, Surah 3rd Lane, Near Beliaghata Police Station, Beliaghata, Kolkata",Mishti,₹500,12noon – 10:30pm (Mon-Sun)
Tripti Snacks Bar,206 votes,3.8,"208/1, A.P.C. Road, Shyam Bazar, Kolkata",Mishti,₹250,12noon – 10pm (Mon-Sun)
Radhu Babu's,370 votes,3.8,"8A, Janak Road, Lake Market Area, Kolkata",Fast Food,₹200,"6am – 10am, 3:30pm – 10:30pm (Mon-Sun)"
China Green,843 votes,4.0,"63/A, A.P.G. Hussain Road, Jadavpur, Kolkata",Fast Food,₹400,11am – 12midnight (Mon-Sun)
Punjabis Kitchen,146 votes,3.6,"105, Narasingh Dutta Road, Kadamtala, Salkia, Dobson Road, Kolkata","North Indian, Chinese",₹250,11:30am – 11pm (Mon-Sun)
Food.Com,76 votes,2.9,"493/C/A, Vivek Vihar, G.T. Road, Near Corporation Bank, Shibpur, Howrah","North Indian, Chinese",₹300,11:30am – 9:30pm (Mon-Sun)
Four Star,Cuisines:,-,"127A, Moulana Abul Kalam Azad Sarani, Kolkata-54, Kankurgachi, Kolkata","Chinese, Mughlai, Italian",₹150,1pm – 10pm (Mon-Sun)
Pravesh Pani Puri,56 votes,3.7,"Near Woodland Hospital, Alipore, Kolkata","Chinese, Mughlai, Italian",₹150,4pm – 9pm (Mon-Sun)
Forkstruck,146 votes,4.1,"188/13, Jodhpur Garden, Lake Gardens, Kolkata","North Indian, Chinese, Kebab, Beverages",₹400,12noon – 2am (Mon-Sun)
Arshyan Restaurant,201 votes,3.6,"Shop 7/3H/4, Dr MN Chatterjee Sarani, Sealdah Area, Kolkata","North Indian, Chinese, Kebab, Beverages",₹500,12noon – 12midnight (Mon-Sun)
Just Chilled,89 votes,3.8,"188, Raja Subodh Chandra Mallick Road, Jadavpur, Kolkata","Chinese, Rolls",₹300,12noon – 9pm (Mon-Sun)
Maa Annapurna Pure Veg,144 votes,3.7,"3/1, Azadgarh, Tollygunge, Kolkata","Chinese, Rolls",₹250,1:30pm – 11:30pm (Mon-Sun)
Mahal Restaurant,155 votes,4.1,"6/3, Ramanath Mazumder Street, Near College Street, College Street, Kolkata","Mughlai, North Indian",₹300,"10am – 4pm, 8pm – 10pm (Mon-Sat),Closed (Sun)"
Bagicha,810 votes,3.8,"25, Shyampukur Street, Hatibagan, Kolkata","Mughlai, North Indian",₹600,12noon – 10pm (Mon-Sun)
Banchharam's,235 votes,4.1,"19, Gariahat Road, Golpark, Kolkata",Mishti,₹100,10am – 9:30pm (Mon-Sun)
Blossom,1208 votes,3.7,"55B, Abheananda Road, Near Hedua Park, Hatibagan, Kolkata",Mishti,₹500,11am – 11pm (Mon-Sun)
China Bites,38 votes,3.4,"Shop 63/A, Prince Golam Hossain Shah Road, Poddar Nagar 2, Jadavpur, Kolkata","Mishti, South Indian, Street Food",₹350,"12:30pm – 5pm, 6:30pm – 12midnight (Mon-Sun)"
Kali Mata Fast Food Centre,9 votes,3.3,"Shop 29B, Near Shyampukur Police Station, Balaram Ghosh Street, Shyam Bazar, Kolkata","Mishti, South Indian, Street Food",₹250,12noon – 10:30pm (Mon-Sun)
Masala Dhaba,7 votes,3.1,"210, Uttar Panchanogram, EM Bypass, Ruby Hospital Area, Kolkata","Street Food, Momos",₹650,11am – 2am (Mon-Sun)
Starbucks Coffee,415 votes,4.2,"City Centre Mall, Ground Floor, Sector 1, Salt Lake, Kolkata","Street Food, Momos",₹700,10am – 11pm (Mon-Sun)
Raj Hotel & Restaurant,132 votes,3.7,"115, Ekdalia Road, Ballygunge, Kolkata","North Indian, Chinese",₹500,11am – 10:30pm (Mon-Sun)
Bedouin - Sher e Bengal,1040 votes,3.8,"200/2B, Gariahat Road, Gariahat, Kolkata","North Indian, Chinese",₹600,10:30am – 10:30pm (Mon-Sun)
Wow Fast Food Corner,Cuisines:,,"Plot 9, Sector B, Metropoliton Bypass, Opposite Durga Mandir, Science City Area, Kolkata","American, Asian, European, Chinese",₹350,
Dish,30 votes,3.3,"19, Maharaja Tagore Road, Dhakuria, Kolkata","American, Asian, European, Chinese",₹300,12noon – 12midnight (Mon-Sun)
Noodle King,Cuisines:,-,"44/7A, C.N. Roy Road, Picnic Garden, Kolkata","Mughlai, Rolls, Biryani",₹400,11am – 11pm (Mon-Sun)
Hurraay! Deli,27 votes,3.6,"P-45 A, Scheme 7M, CIT Road, Kankurgachi, Kolkata","Mughlai, Rolls, Biryani",₹300,10am – 11:30pm (Mon-Sun)
Cake House,48 votes,3.2,"36/1E/1K/1, Near VIP Masjid, Topsia, Kolkata","Bakery, Desserts",₹150,11am – 12midnight (Mon-Sun)
Tandoor House,6 votes,3.2,"2C, Naskar Para Lane, Gariahat, Kolkata","Bakery, Desserts",₹200,11am – 11pm (Mon-Sun)
Spice Of Joy,133 votes,2.9,"3C, Naskar Para Lane, Kalikapur, Kolkata","Rolls, Biryani, North Indian",₹300,11:30am – 11pm (Mon-Sun)
Panna Sweets,326 votes,4.1,"7, Brahma Samaj Road, Near Behala Tram Depot, Behala, Kolkata","Rolls, Biryani, North Indian",₹100,7am – 9:30pm (Mon-Sun)
Kusum Snacks,14 votes,3.3,"318, S K Deb Road, Choudhary Bagan, Lake Town, Kolkata","Cafe, Fast Food, Italian, Pizza, Chinese",₹150,7am – 10pm (Mon-Sun)
Kona Dukan - Stock Exchange Tea Stall,78 votes,4.1,"16, Lyons Range, Near Writers Building, Kolkata Stock Exchange, Dalhousie BBD Bagh, Kolkata","Cafe, Fast Food, Italian, Pizza, Chinese",₹200,5am – 10pm (Mon-Sun)
Allen Kitchen,482 votes,4.0,"40/1, Jatindra Mohan Avenue, Shobha Bazar, Kolkata",Biryani,₹300,4pm – 9pm (Mon-Sun)
Graham's Kitchen,237 votes,3.7,"6/1, N.S.C. Bose Road, Near Indrapuri Studio, Tollygunge, Kolkata",Biryani,₹600,12noon – 10:30pm (Mon-Sun)
Drumstick,477 votes,3.8,"8, Hem Chandra Naskar Road, Beliaghata C.I.T. More, Beliaghata, Kolkata","Chinese, North Indian",₹650,11:30am – 10pm (Mon-Sun)
Gupta's Pav Bhaji,78 votes,3.4,"180B, Mukhtaram Babu Street, Near Ram Mandir, Chittaranjan Avenue, Girish Park, Kolkata","Chinese, North Indian",₹200,10am – 10pm (Mon-Sun)
Kafulok,258 votes,3.7,"47, Govinda Khatick Road, South Tangra Road, Tangra, Kolkata",Biryani,₹800,"Closed (Mon),12noon – 4pm, 6pm – 11pm (Tue-Sun)"
My Hangout,142 votes,4.6,"47B, Lake Avenue, Southern Avenue, Kolkata",Biryani,"₹1,100","12:30pm – 10:30pm (Mon-Sat),12noon – 10:30pm (Sun)"
Zyka,458 votes,3.8,"850, Block P, New Alipore, Kolkata","Cafe, Italian, Continental, European, Chinese, Thai, South Indian, North Indian",₹600,12noon – 11:30pm (Mon-Sun)
Boht Hard,23 votes,3.5,Delivery Only,"Cafe, Italian, Continental, European, Chinese, Thai, South Indian, North Indian",₹150,"12:02am – 1:30am, 12noon – 12midnight (Mon-Sun)"
Fusion Foodz,7 votes,3.2,"94, Buroshibtala Main Road, New Alipore, Kolkata","Bengali, Chinese, North Indian",₹400,10am – 10pm (Mon-Sun)
KYD Knight Corner,24 votes,3.8,"30/2, Kustia Masjid Bari Lane, Topsia, Kolkata","Bengali, Chinese, North Indian",₹350,2pm – 4am (Mon-Sun)
Rajwada - The Sonnet,19 votes,3.3,"The Sonnet, Plot 8, Block DD, Sector 1, Salt Lake, Kolkata",South Indian,"₹1,200","7pm – 1am (Mon-Tue),7pm – 11pm (Wed-Sun)"
Desi Fried Chicken,Cuisines:,NEW,"17/1, Mayurbhanj Road, Alipore, Kolkata",South Indian,₹350,11am – 11pm (Mon-Sun)
Kababi,93 votes,3.7,"6/6, Bijoygarh, Near Palleshree More, Tollygunge, Kolkata",Beverages,₹300,3pm – 11pm (Mon-Sun)
The Big Boss Cafe,50 votes,3.3,"57/1C, Ward 69, Naresh Mitra Sarani, Sarat Bose Road, Bhawanipur, Kolkata",Beverages,₹850,11am – 12midnight (Mon-Sun)
Food Hood,28 votes,3.3,"214, Jodhpur Gardens, Lake Gardens, Kolkata","North Indian, Beverages",₹300,2pm – 3am (Mon-Sun)
Busy Spoonz,66 votes,3.7,"3D, Charu Avenue, Tollygunge, Kolkata","North Indian, Beverages",₹300,"5pm – 9:30pm (Mon-Sat),Closed (Sun)"
Sree Durgar Rannaghar,46 votes,3.7,"14 E, Bramho Samaj Road, Behala, Kolkata","Biryani, Hyderabadi, North Indian, Mughlai",₹300,2pm – 10pm (Mon-Sun)
Fabelle Chocolate Boutique - ITC Sonar,186 votes,4.2,"ITC Sonar, J.B.S. Haldane Avenue, E.M. Bypass, Science City Area, Kolkata","Biryani, Hyderabadi, North Indian, Mughlai",₹700,11am – 12midnight (Mon-Sun)
Kamdhenu's,164 votes,4.1,"596, Santoshpur Avenue, Near Jora Bridge, Santoshpur, Kolkata",Fast Food,₹150,7am – 10pm (Mon-Sun)
Rimpa Restaurant,58 votes,3.2,"63/A/6, Raja Ram Mohan Roy Road,  Muchipara, Behala, Kolkata",Fast Food,₹550,12noon – 11pm (Mon-Sun)
Nalin Chandra Das & Sons,255 votes,4.1,"84, Near Kalighat Metro, Kalighat, Kolkata","Chinese, Fast Food",₹100,7am – 11pm (Mon-Sun)
Sheesh Mahal,154 votes,3.6,"28, Karl Marx Sarani, Near Fancy Market, Kidderpore, Kolkata","Chinese, Fast Food",₹350,9am – 12midnight (Mon-Sun)
Tifeen Box,114 votes,4.0,"31/B, Pallisree, Tollygunge, Kolkata","Biryani, Fast Food",₹300,11am – 11pm (Mon-Sun)
Aroha,55 votes,3.7,"140, Bidhan Sarani, Near Bata, Hatibagan, Kolkata","Biryani, Fast Food",₹700,12noon – 11pm (Mon-Sun)
The Tasty- South Indian Gourmet,40 votes,4.2,"37, Ground Floor, Janak Road, Southern Avenue, Kolkata",Bakery,₹350,9am – 9:30pm (Mon-Sun)
Arambagh's Chicken,Cuisines:,-,"127 A, Rash Behari Avenue, Gariahat, Kolkata",Bakery,₹150,10am – 9:30pm (Mon-Sun)
Super Star Haji Biriyani,27 votes,3.4,"175/J, Maniktala Main Road, PS Phoolbagan, Kankurgachi, Kolkata","Biryani, Rolls",₹350,11am – 11pm (Mon-Sun)
Adarrsh Kitchen,5 votes,3.0,"6, Canal South Road, Tangra, Kolkata","Biryani, Rolls",₹600,12noon – 12midnight (Mon-Sun)
Iva' s Kitchen,Cuisines:,-,"Flat-8, Suchetana Samabay, Nean Bijon Bhavan, Sector 3, Salt Lake, Kolkata","Fast Food, Chinese, North Indian",₹600,11am – 10pm (Mon-Sun)
Grill N Wheel,13 votes,3.3,"10/1/1, Onkarmal Jatia Road, Shibpur, Howrah","Fast Food, Chinese, North Indian",₹350,"11am – 2:30pm, 5:30pm – 10:30pm (Mon-Sun)"
Royal Fast Food,48 votes,3.5,"416, Rabindra Sarani, Near Beniatola, Shobha Bazar, Kolkata","Chinese, North Indian",₹250,12:30pm – 11pm (Mon-Sun)
New Arsalaan Biryani,114 votes,3.8,"189/B/1, Santoshpur Avenue, Jora Bridge, Santoshpur, Kolkata","Chinese, North Indian",₹200,12noon – 10pm (Mon-Sun)
The Red Velvet Bakery,62 votes,3.6,"36/1E/1K/1, Topsia Road, Near VIP Masjid, Topsia, Kolkata",Bakery,₹200,11am – 12midnight (Mon-Sun)
Kishori Mohan Mistanna Bhandar,Cuisines:,-,"139, Shri Aurobindo Sarani Road, Manicktala, Goa Bagan, Hatibagan, Kolkata",Bakery,₹250,7am – 10:30pm (Mon-Sun)
Salt Lake Dhaba,80 votes,3.4,"26/K, Em Bypass, Opposite Bidhan Garden Banquet, Sector 1, Salt Lake, Kolkata","Biryani, Mughlai, North Indian",₹500,7pm – 2am (Mon-Sun)
180 Degree C Bakery,6 votes,3.1,"82, Flat 5P, Natural View Apartment, Ultadanga Main Road, Near Biddhanagar Railway Station, Ultadanga, Kolkata","Biryani, Mughlai, North Indian",₹250,2pm – 9pm (Mon-Sun)
The Spice Cuisine,13 votes,3.4,"26, N S C Bose Road, Tollygunge, Kolkata",North Indian,₹400,"12:15pm – 11:15pm (Mon),11am – 11pm (Tue-Sun)"
Lords Dhaba,4 votes,2.9,"Borough 10, Jadavpur Station, Jadavpur, Kolkata",North Indian,₹200,11am – 11pm (Mon-Sun)
Ice N Spice,4 votes,3.1,"41/2/1, Ram Charan Sett Road, Santragachi, Ichapur, Howrah",Chinese,₹250,3pm – 10pm (Mon-Sun)
Apna Rasoi,23 votes,3.4,Delivery Only,Chinese,₹300,11am – 11pm (Mon-Sun)
Bellagio,15 votes,3.7,"174, 175, 179, Raja Subodh Mullick Road, Block C, Jadavpur, Kolkata","Fast Food, Rolls, Chinese","₹1,000",12noon – 11pm (Mon-Sun)
Sai Jalpan Junction,149 votes,3.5,"493/B/17, Shibpur, Howrah","Fast Food, Rolls, Chinese",₹150,8am – 10pm (Mon-Sun)
Pied Pipers Cafe,526 votes,3.9,"1744, 3rd Floor, Rajadanga Main Road, Opposite Acropolis Mall, Kasba, Kolkata",Biryani,₹700,"11am – 11pm (Mon, Tue, Wed, Thu, Fri, Sun), 11am..."
The Noodle Doodle,73 votes,3.9,"37, Kabir Road, Southern Avenue, Kolkata",Biryani,₹600,12noon – 10:30pm (Mon-Sun)
WOW BFC,12 votes,3.2,"18, Dent Mission Road, Kidderpore, Kolkata","Parsi, Street Food",₹400,2pm – 11pm (Mon-Sun)
Top Of China,46 votes,3.3,"8, Bedaraipur Road, Jadavpur, Kolkata","Parsi, Street Food",₹300,11am – 11pm (Mon-Sun)
Beans n Bites,1410 votes,4.3,"23/20/3, Gariahat Road, Near Kotak Mahindra Bank, Golpark, Kolkata",Biryani,₹250,"10:30am – 9:30pm (Mon-Sat),4pm – 9:30pm (Sun)"
Faizan Food Court,15 votes,3.5,"38 A, Martin Para, Purba Panchannagram, Ruby Hospital Area, Kolkata",Biryani,₹500,"12noon – 2am (Mon-Tue),12noon – 11pm..."
Kolkata Fried Chicken,643 votes,3.9,"290, Grand Trunk Road, Naora, Shibpur, Howrah","Chinese, Bengali",₹350,12noon – 11pm (Mon-Sun)
Bakies,Cuisines:,NEW,"702/5/1, Sarat Chatterjee Road, Shibpur, Howrah","Chinese, Bengali",₹350,"9am – 2pm, 5pm – 10pm (Mon-Sun)"
Kaffiesta Steaks,691 votes,4.3,"P-464, Keyatala Road, Southern Avenue, Kolkata","Desserts, Beverages",₹900,11am – 10pm (Mon-Sun)
Steam & Fried,287 votes,3.7,"195 Block J, New Alipore, Kolkata","Desserts, Beverages",₹300,"Closed (Mon),11am – 10:30pm (Tue-Sun)"
Goutam's,373 votes,3.6,"26/P, Duttabari Road, Sector 1, Salt Lake, Kolkata","Biryani, Chinese",₹350,4pm – 2am (Mon-Sun)
Shawarma Nation,286 votes,3.9,"190, Sarat Bose Road, Southern Avenue, Kolkata","Biryani, Chinese",₹450,5pm – 4am (Mon-Sun)
Padmaparer Rannaghar,431 votes,3.6,"26/4, Ground Floor, Gariahat Junction, Gariahat, Kolkata","Pizza, Fast Food",₹500,12noon – 10pm (Mon-Sun)
Falam,83 votes,3.7,"P/7/A, CIT Road, Phoolbagan, Bata More, Near Aakash Institute, Kankurgachi, Kolkata","Pizza, Fast Food",₹250,8am – 10pm (Mon-Sun)
New Karco Hotel,Cuisines:,-,"Gariahat, Kolkata",Biryani,₹300,10am – 10pm (Mon-Sun)
Noodles And Pasta,11 votes,3.2,"28, Arabinda Road, Salkia, Howrah",Biryani,₹300,11am – 10:30pm (Mon-Sun)
Getting Spicy,67 votes,3.6,"493/C/A, Phase 3, Vivek Vihar, GT Road, Howrah",Chinese,₹300,12noon – 12midnight (Mon-Sun)
Apu's Galaxy,148 votes,3.7,"121, Hem Chandra Naskar Road, Kankurgachi, Kolkata",Chinese,₹250,12noon – 11pm (Mon-Sun)
Sharma Junction,5 votes,2.8,"81 C, Moulana Abul Kalam Azad Sarani, Kankurgachi, Kolkata","Biryani, Chinese",₹150,6am – 10pm (Mon-Sun)
No. Five Signature Home Kitchen,7 votes,3.1,"5, Tilak Road, Desapriya Park, Kolkata","Biryani, Chinese",₹400,"8am – 2:30pm, 6pm – 9:30pm (Mon-Sun)"
Kolkata Bawarchi,7 votes,3.1,"Uchhepota, Sonarpur, Garia, Kolkata","Bengali, Chinese",₹100,7:30am – 4am (Mon-Sun)
A1 Haji Biryani,27 votes,2.9,"144, 1B Samajhgarh Colony, Minapara Road, Jadavpur, Kolkata","Bengali, Chinese",₹400,10am – 4am (Mon-Sun)
Khan Sahab Kitchen,24 votes,3.3,"24, Bolai Dutta Street, Ward 43, Bara Bazar, Kolkata",Desserts,₹450,"12noon – 11:50pm (Mon, Wed, Thu, Fri, Sat, Sun)..."
Slice of Heaven,33 votes,3.9,"7/1, Nandi Street, Ballygunge, Kolkata",Desserts,₹500,10am – 10pm (Mon-Sun)
Nightsaviour,1058 votes,3.8,"1B/3, Kustia Road, Near Singh Builders, Picnic Garden. Kolkata","Fast Food, Burger, American, Rolls, Wraps",₹300,11am – 4am (Mon-Sun)
Sonar Bangla,45 votes,3.4,"7, Andul Raj Road, Hazra, Kolkata","Fast Food, Burger, American, Rolls, Wraps",₹250,12noon – 10pm (Mon-Sun)
Gallery 19,21 votes,3.5,"63C, Ballygunge Garden, Kalpana Terrace, Golpark, Kolkata","North Indian, Chinese",₹600,11am – 11pm (Mon-Sun)
The Cake Counter,176 votes,4.0,"Survey Park, Santoshpur, Kolkata","North Indian, Chinese",₹150,9am – 9pm (Mon-Sun)
Sharma South Indian Snacks,17 votes,3.2,"Shop 42, N.S.C. Bose Road, Tollygunge, Kolkata","Kebab, Fast Food",₹200,7am – 9:30pm (Mon-Sun)
Ballygunge Dhaba,798 votes,3.7,"P23, Ashutosh Chowdhury Avenue, Ballygunge Phari, Ballygunge, Kolkata","Kebab, Fast Food",₹600,"11:30am – 11pm (Mon, Wed, Thu, Fri, Sat, Sun)..."
Fast Bite,123 votes,3.5,"1st, Topsia Road, Topsia, Kolkata",Biryani,₹350,3pm – 10pm (Mon-Sun)
Satyanarayan Restaurant,84 votes,3.7,"88, Hem Chandra Naskar Road, Kankurgachi, Kolkata",Biryani,₹250,1pm – 10:30pm (Mon-Sun)
Sree Hari Mistanna Bhandar,266 votes,4.0,"Shop 35A & 35B, Ground Floor, S.P. Mukherjee Road, Bhawanipur, Kolkata","North Indian, Italian, Mexican, Continental",₹100,7am – 10pm (Mon-Sun)
China Whites,1424 votes,3.8,"14/6, Gariahat Road, Near Pantaloons, Gariahat, Kolkata","North Indian, Italian, Mexican, Continental","₹1,000",12noon – 11pm (Mon-Sun)
Ranjan's,226 votes,3.6,"B 158, Sector 3, Salt Lake, Kolkata",Momos,₹500,"12noon – 3:30pm, 5:30pm – 10pm (Mon-Sun)"
Ajanta,159 votes,3.4,"Ajanta Cinema, Diamond Harbour Road, Behala, Kolkata",Momos,₹600,12noon – 12midnight (Mon-Sun)
Mrityunjay Ghosh & Sons,46 votes,3.5,"80 D, Sarat Bose Road, Near Ballygunge Police Station, Ballygunge, Kolkata",Biryani,₹100,7am – 9pm (Mon-Sun)
Bikers Dhaba,41 votes,3.6,"Shop 154, Manicktala Main Road, Opposite Ekta Residency, Kankurgachi, Kolkata",Biryani,₹500,1pm – 12midnight (Mon-Sun)
Payeshyum,Cuisines:,-,"13, Selimpur Road, Dhakuria, Kolkata",Fast Food,₹150,8:30am – 9pm (Mon-Sun)
Hav Cakes,Cuisines:,,"Ambika Towers, 40, Dobson Road, Howrah",Fast Food,₹300,
Marwadi Sweets,Cuisines:,-,"51/2, Botanical Garden Lane, Shibpur, Howrah",Biryani,₹100,7am – 12midnight (Mon-Sun)
Cream Bell,Cuisines:,-,"587, Dakhindari Road, Lake Town, Kolkata",Biryani,₹200,9am – 9pm (Mon-Sun)
Five One Six Breakfast,Cuisines:,-,"984/2, Ground Floor, Maskarhat Madhyapara, Near Ganesh Bari, Kasba, Kolkata","Chinese, Asian, Seafood",₹200,8am – 11pm (Mon-Sun)
Foodies,7 votes,2.9,"1357, Plot 5, Ground Floor, Block AI, Rajdanga Main Road, Kasba, Kolkata","Chinese, Asian, Seafood",₹300,11am – 11pm (Mon-Sun)
Good Morning Restaurant,20 votes,2.9,"22/265, Near South City Mall, Jodhpur Park, Kolkata","Biryani, North Indian",₹400,11am – 4am (Mon-Sun)
Suresh Chourasia Tea,Cuisines:,-,"96C, D H Road, Kidderpore, Kolkata","Biryani, North Indian",₹100,8am – 10pm (Mon-Sun)
Gulistan Hotel,Cuisines:,,"33, Dr Sudhir Bose Road, Ekbalpur, Kidderpore, Kolkata",Biryani,₹300,
Chowdhury Sweet House,Cuisines:,-,"9, C.G.R. Road, Kidderpore, Kolkata",Biryani,₹100,6am – 10pm (Mon-Sun)
The Ray Factor,Cuisines:,-,"1286, Madurdah, Kalikapur, Kolkata","Beverages, Ice Cream",₹300,10am – 10pm (Mon-Sun)
Sharma's Food Delivery,Cuisines:,,"162/D/656, Lake Gardens, Kolkata","Beverages, Ice Cream",₹200,
New Albela Biryani,Cuisines:,-,"R-132, S.A. Faarooquie Road, Kidderpore, Kolkata","North Indian, Bengali",₹250,11am – 11pm (Mon-Sun)
Al Madina Cafeteria,Cuisines:,-,"80/2, Tiljala, Topsia, Kolkata","North Indian, Bengali",₹300,4:30pm – 11:30pm (Mon-Sun)
Adi Malancha,69 votes,3.8,"Sikdar Bagan Street, Hatibagan, Kolkata","Seafood, Chinese, Sandwich, Burger, Fast Food",₹150,5:30pm – 8pm (Mon-Sun)
Rama Hotel,24 votes,3.4,"168 C, Raybahadur Road, Behala, Kolkata","Seafood, Chinese, Sandwich, Burger, Fast Food",₹200,"12noon – 3pm, 6pm – 12midnight (Mon-Sun)"
Biryan-Flavour Of Nawabs,51 votes,3.6,Delivery Only,"Biryani, Mughlai",₹250,"12noon – 2am (Mon, Tue, Wed, Fri, Sat, Sun)..."
Binge Bae-Fi-Kar,21 votes,3.7,"26, Prince Anwar Shah Road, Kolkata","Biryani, Mughlai",₹600,8am – 10:30pm (Mon-Sun)
Salt And Sugar,30 votes,3.7,"159, B.B Chatterjee Road, Kasba, Kolkata","Chinese, North Indian, Mughlai",₹500,"11am – 11pm (Mon, Wed, Thu, Fri, Sat, Sun), Closed..."
La Choco Boutique,23 votes,3.4,"81/A, 2nd Floor, Ram Ganga Niwas, Bechu Chatterjee Street, College Street, Kolkata","Chinese, North Indian, Mughlai",₹100,9am – 10pm (Mon-Sun)
The Tea Place by Manjushree,368 votes,4.1,"256, Purna Das Road, Near Dakatia Kali Bari, Hindustan Park, Kolkata","North Indian, Street Food, Beverages",₹500,"12noon – 9:30pm (Mon-Fri),9:30am – 9:30pm..."
J.P. Pan Bhandar,17 votes,3.4,"Ground Floor, 15B, Kalakar Street, Bara Bazar, Kolkata","North Indian, Street Food, Beverages",₹100,7:30am – 11:30pm (Mon-Sun)
New Royal Biryani,97 votes,3.7,"153/2, Ray Bahadur Road, Behala, Kolkata","North Indian, Continental, Chinese",₹250,"12noon – 12midnight (Mon, Tue, Wed, Thu, Sat..."
Bru Mugs Cafe,61 votes,3.7,"25/B, Pratapaditya Road, Near 27 Pally Park, Sahanagar, Kalighat, Kolkata","North Indian, Continental, Chinese",₹400,12noon – 10pm (Mon-Sun)
